station_name,borough
Beckton Riverside,Armada Riverside[39]
Bank (DLR),City of London
Tower Gateway,City of London
Cutty Sark for Maritime Greenwich,Greenwich
Elverson Road,Greenwich
Greenwich,Greenwich
Woolwich Arsenal,Greenwich
Deptford Bridge,Lewisham
Lewisham,Lewisham
Abbey Road,Newham
Beckton,Newham
Beckton Park,Newham
Canning Town,Newham
Custom House,Newham
Cyprus,Newham
Gallions Reach,Newham
King George V,Newham
London City Airport,Newham
Pontoon Dock,Newham
Prince Regent,Newham
Pudding Mill Lane,Newham
Royal Albert,Newham
Royal Victoria,Newham
Star Lane,Newham
Stratford,Newham
Stratford High Street,Newham
Stratford International,Newham
West Ham,Newham
West Silvertown,Newham
Thames Wharf,Thameside West[36]
Thamesmead,Thamesmead Central[38]
All Saints,Tower Hamlets
Blackwall,Tower Hamlets
Bow Church,Tower Hamlets
Canary Wharf,Tower Hamlets
Crossharbour,Tower Hamlets
Devons Road,Tower Hamlets
East India,Tower Hamlets
Heron Quays,Tower Hamlets
Island Gardens,Tower Hamlets
Langdon Park,Tower Hamlets
Limehouse,Tower Hamlets
Mudchute,Tower Hamlets
Poplar,Tower Hamlets
Shadwell,Tower Hamlets
South Quay,Tower Hamlets
West India Quay,Tower Hamlets
Westferry,Tower Hamlets
