Year,DayType,TimeBand,Borough,Community_ID,Participation_Coefficient
2013,Unknown,Total,Barking & Dagenham,0,0.8771131659458817
2013,Unknown,Total,Barnet,1,0.8172667840194393
2013,Unknown,Total,Brent,2,0.9080135734132306
2013,Unknown,Total,Camden,1,0.8763368242050529
2013,Unknown,Total,City of London,1,0.8860075312281257
2013,Unknown,Total,Ealing,3,0.9023749893768516
2013,Unknown,Total,Enfield,1,0.844537362131547
2013,Unknown,Total,Greenwich,0,0.9010833034779624
2013,Unknown,Total,Hammersmith & Fulham,3,0.8970315457837917
2013,Unknown,Total,Haringey,1,0.8464585035638237
2013,Unknown,Total,Harrow,2,0.9223682163124933
2013,Unknown,Total,Havering,0,0.8813972449610602
2013,Unknown,Total,Hillingdon,3,0.9115641264560053
2013,Unknown,Total,Hounslow,3,0.8935488759489338
2013,Unknown,Total,Islington,1,0.8603648561214317
2013,Unknown,Total,Kensington & Chelsea,3,0.9012804240645256
2013,Unknown,Total,Lambeth,1,0.8694650121328148
2013,Unknown,Total,Merton,3,0.8930290631176726
2013,Unknown,Total,Newham,0,0.8811240391931131
2013,Unknown,Total,Out of London,0,0.8894871317203773
2013,Unknown,Total,Redbridge,0,0.8907534314658564
2013,Unknown,Total,Richmond upon Thames,3,0.9125609247873314
2013,Unknown,Total,Southwark,0,0.89812609332924
2013,Unknown,Total,Tower Hamlets,0,0.9033395260815165
2013,Unknown,Total,Waltham Forest,0,0.8882866057865788
2013,Unknown,Total,Wandsworth,3,0.8907618545055513
2013,Unknown,Total,Westminster,1,0.8979162363890338
2013,Unknown,Total,Hackney,1,0.8466887908950307
2013,Unknown,midday,Barking & Dagenham,0,0.8602901467901156
2013,Unknown,midday,Barnet,1,0.8005637463099914
2013,Unknown,midday,Brent,2,0.8813168409039359
2013,Unknown,midday,Camden,1,0.8707948198050943
2013,Unknown,midday,City of London,1,0.8661689680604073
2013,Unknown,midday,Ealing,3,0.8963068673122688
2013,Unknown,midday,Enfield,1,0.8205048463176935
