station_name,borough
Bank ( from Monument),City of London
Tower Gateway ( from Fenchurch Street and from Tower Hill tube),City of London
Cutty Sark for Maritime Greenwich,Greenwich
Elverson Road,Greenwich
Greenwich,Greenwich
Woolwich Arsenal ( from Woolwich),Greenwich
Deptford Bridge,Lewisham
Lewisham,Lewisham
Abbey Road,Newham
Beckton,Newham
Beckton Park,Newham
Canning Town (High Level),Newham
Canning Town (Low Level),Newham
Custom House,Newham
Cyprus,Newham
Gallions Reach,Newham
King George V,Newham
London City Airport,Newham
Pontoon Dock,Newham
Prince Regent,Newham
Pudding Mill Lane,Newham
Royal Albert,Newham
Royal Victoria ( from IFS Cloud Royal Docks),Newham
Star Lane,Newham
Stratford (High Level),Newham
Stratford (Low Level),Newham
Stratford High Street,Newham
Stratford International,Newham
West Ham,Newham
West Silvertown,Newham
All Saints,Tower Hamlets
Blackwall,Tower Hamlets
Bow Church ( from Bow Road tube),Tower Hamlets
Canary Wharf,Tower Hamlets
Crossharbour,Tower Hamlets
Devons Road,Tower Hamlets
East India,Tower Hamlets
Heron Quays ( from Canary Wharf tube),Tower Hamlets
Island Gardens,Tower Hamlets
Langdon Park,Tower Hamlets
Limehouse,Tower Hamlets
Mudchute,Tower Hamlets
Poplar ( from Canary Wharf),Tower Hamlets
Shadwell,Tower Hamlets
South Quay,Tower Hamlets
West India Quay ( from Canary Wharf),Tower Hamlets
Westferry,Tower Hamlets
