station_name,borough,full_name,url
Abbey Road,Newham,Abbey Road,
All Saints,Tower Hamlets,All Saints,
Bank ( from Monument),City of London,Bank ( from Monument),
Beckton,Newham,Beckton,
Beckton Park,Newham,Beckton Park,
Blackwall,Tower Hamlets,Blackwall,
Bow Church ( from Bow Road tube),Tower Hamlets,Bow Church ( from Bow Road tube station),
Canary Wharf,Tower Hamlets,Canary Wharf,
Canning Town (High Level),Newham,Canning Town (High Level),
Canning Town (Low Level),Newham,Canning Town (Low Level),
Crossharbour,Tower Hamlets,Crossharbour,
Custom House,Newham,Custom House,
Cutty Sark for Maritime Greenwich,Greenwich,Cutty Sark for Maritime Greenwich,
Cyprus,Newham,Cyprus,
Deptford Bridge,Lewisham,Deptford Bridge,
Devons Road,Tower Hamlets,Devons Road,
East India,Tower Hamlets,East India,
Elverson Road,Greenwich,Elverson Road,
Gallions Reach,Newham,Gallions Reach,
Greenwich,Greenwich,Greenwich,
Heron Quays ( from Canary Wharf tube),Tower Hamlets,Heron Quays ( from Canary Wharf tube station),
Island Gardens,Tower Hamlets,Island Gardens,
King George V,Newham,King George V,
Langdon Park,Tower Hamlets,Langdon Park,
Lewisham,Lewisham,Lewisham,
Limehouse,Tower Hamlets,Limehouse,
London City Airport,Newham,London City Airport,
Mudchute,Tower Hamlets,Mudchute,
Pontoon Dock,Newham,Pontoon Dock,
Poplar ( from Canary Wharf),Tower Hamlets,Poplar ( from Canary Wharf railway station),
Prince Regent,Newham,Prince Regent,
Pudding Mill Lane,Newham,Pudding Mill Lane,
Royal Albert,Newham,Royal Albert,
Royal Victoria ( from IFS Cloud Royal Docks),Newham,Royal Victoria ( from IFS Cloud Royal Docks),
Shadwell,Tower Hamlets,Shadwell,
South Quay,Tower Hamlets,South Quay,
Star Lane,Newham,Star Lane,
Stratford (High Level),Newham,Stratford (High Level),
Stratford (Low Level),Newham,Stratford (Low Level),
Stratford High Street,Newham,Stratford High Street,
Stratford International,Newham,Stratford International,
Tower Gateway ( from Fenchurch Street and from Tower Hill tube),City of London,Tower Gateway ( from Fenchurch Street railway station and from Tower Hill tube station),
West Ham,Newham,West Ham,
West India Quay ( from Canary Wharf),Tower Hamlets,West India Quay ( from Canary Wharf railway station),
West Silvertown,Newham,West Silvertown,
Westferry,Tower Hamlets,Westferry,
Woolwich Arsenal ( from Woolwich),Greenwich,Woolwich Arsenal ( from Woolwich railway station),
