station_name,borough,full_name,url
Acton Central,Ealing,Acton Central railway station,https://en.wikipedia.org/wiki/Acton_Central_railway_station
Anerley,Bromley,Anerley railway station,https://en.wikipedia.org/wiki/Anerley_railway_station
Barking Riverside,Barking & Dagenham,Barking Riverside railway station,https://en.wikipedia.org/wiki/Barking_Riverside_railway_station
Barking,Barking & Dagenham,Barking station,https://en.wikipedia.org/wiki/Barking_station
Battersea Park,Wandsworth,Battersea Park railway station,https://en.wikipedia.org/wiki/Battersea_Park_railway_station
Bethnal Green,Tower Hamlets,Bethnal Green railway station,https://en.wikipedia.org/wiki/Bethnal_Green_railway_station
Blackhorse Road,Waltham Forest,Blackhorse Road station,https://en.wikipedia.org/wiki/Blackhorse_Road_station
Brockley,Lewisham,Brockley railway station,https://en.wikipedia.org/wiki/Brockley_railway_station
Brondesbury Park,Brent,Brondesbury Park railway station,https://en.wikipedia.org/wiki/Brondesbury_Park_railway_station
Brondesbury,Brent,Brondesbury railway station,https://en.wikipedia.org/wiki/Brondesbury_railway_station
Bruce Grove,Haringey,Bruce Grove railway station,https://en.wikipedia.org/wiki/Bruce_Grove_railway_station
Bush Hill Park,Enfield,Bush Hill Park railway station,https://en.wikipedia.org/wiki/Bush_Hill_Park_railway_station
Bushey,Borough of Watford,Bushey railway station,https://en.wikipedia.org/wiki/Bushey_railway_station
Caledonian Road & Barnsbury,Islington,Caledonian Road & Barnsbury railway station,https://en.wikipedia.org/wiki/Caledonian_Road_%26_Barnsbury_railway_station
Cambridge Heath,Tower Hamlets,Cambridge Heath railway station,https://en.wikipedia.org/wiki/Cambridge_Heath_railway_station
Camden Road,Camden,Camden Road railway station,https://en.wikipedia.org/wiki/Camden_Road_railway_station
Canada Water,Southwark,Canada Water station,https://en.wikipedia.org/wiki/Canada_Water_station
Canonbury,Islington,Canonbury railway station,https://en.wikipedia.org/wiki/Canonbury_railway_station
Carpenders Park,District of Three Rivers,Carpenders Park railway station,https://en.wikipedia.org/wiki/Carpenders_Park_railway_station
Cheshunt,Borough of Broxbourne,Cheshunt railway station,https://en.wikipedia.org/wiki/Cheshunt_railway_station
Chingford,Waltham Forest,Chingford railway station,https://en.wikipedia.org/wiki/Chingford_railway_station
Clapham High Street,Lambeth,Clapham High Street railway station,https://en.wikipedia.org/wiki/Clapham_High_Street_railway_station
Clapham Junction,Wandsworth,Clapham Junction railway station,https://en.wikipedia.org/wiki/Clapham_Junction_railway_station
Clapton,Hackney,Clapton railway station,https://en.wikipedia.org/wiki/Clapton_railway_station
Crouch Hill,Islington,Crouch Hill railway station,https://en.wikipedia.org/wiki/Crouch_Hill_railway_station
Crystal Palace,Bromley,Crystal Palace railway station,https://en.wikipedia.org/wiki/Crystal_Palace_railway_station
Dalston Junction,Hackney,Dalston Junction railway station,https://en.wikipedia.org/wiki/Dalston_Junction_railway_station
Dalston Kingsland,Hackney,Dalston Kingsland railway station,https://en.wikipedia.org/wiki/Dalston_Kingsland_railway_station
Denmark Hill,Southwark,Denmark Hill railway station,https://en.wikipedia.org/wiki/Denmark_Hill_railway_station
Edmonton Green,Enfield,Edmonton Green railway station,https://en.wikipedia.org/wiki/Edmonton_Green_railway_station
Emerson Park,Havering,Emerson Park railway station,https://en.wikipedia.org/wiki/Emerson_Park_railway_station
Enfield Town,Enfield,Enfield Town railway station,https://en.wikipedia.org/wiki/Enfield_Town_railway_station
Euston,Camden,Euston railway station,https://en.wikipedia.org/wiki/Euston_railway_station
Finchley Road & Frognal,Camden,Finchley Road & Frognal railway station,https://en.wikipedia.org/wiki/Finchley_Road_%26_Frognal_railway_station
Forest Hill,Lewisham,Forest Hill railway station,https://en.wikipedia.org/wiki/Forest_Hill_railway_station
Gospel Oak,Camden,Gospel Oak railway station,https://en.wikipedia.org/wiki/Gospel_Oak_railway_station
Gunnersbury,Hounslow,Gunnersbury station,https://en.wikipedia.org/wiki/Gunnersbury_station
Hackney Central,Hackney,Hackney Central railway station,https://en.wikipedia.org/wiki/Hackney_Central_railway_station
Hackney Downs,Hackney,Hackney Downs railway station,https://en.wikipedia.org/wiki/Hackney_Downs_railway_station
