station_name,borough,full_name,url
Barking,Barking & Dagenham,Barking station,https://en.wikipedia.org/wiki/Barking_station
Becontree,Barking & Dagenham,Becontree tube station,https://en.wikipedia.org/wiki/Becontree_tube_station
Dagenham East,Barking & Dagenham,Dagenham East tube station,https://en.wikipedia.org/wiki/Dagenham_East_tube_station
Dagenham Heathway,Barking & Dagenham,Dagenham Heathway tube station,https://en.wikipedia.org/wiki/Dagenham_Heathway_tube_station
Upney,Barking & Dagenham,Upney tube station,https://en.wikipedia.org/wiki/Upney_tube_station
Brent Cross,Barnet,Brent Cross tube station,https://en.wikipedia.org/wiki/Brent_Cross_tube_station
Burnt Oak,Barnet,Burnt Oak tube station,https://en.wikipedia.org/wiki/Burnt_Oak_tube_station
Colindale,Barnet,Colindale tube station,https://en.wikipedia.org/wiki/Colindale_tube_station
East Finchley,Barnet,East Finchley tube station,https://en.wikipedia.org/wiki/East_Finchley_tube_station
Edgware,Barnet,Edgware tube station,https://en.wikipedia.org/wiki/Edgware_tube_station
Finchley Central,Barnet,Finchley Central tube station,https://en.wikipedia.org/wiki/Finchley_Central_tube_station
Golders Green,Barnet,Golders Green tube station,https://en.wikipedia.org/wiki/Golders_Green_tube_station
Hendon Central,Barnet,Hendon Central tube station,https://en.wikipedia.org/wiki/Hendon_Central_tube_station
High Barnet,Barnet,High Barnet tube station,https://en.wikipedia.org/wiki/High_Barnet_tube_station
Mill Hill East,Barnet,Mill Hill East tube station,https://en.wikipedia.org/wiki/Mill_Hill_East_tube_station
Totteridge & Whetstone,Barnet,Totteridge & Whetstone tube station,https://en.wikipedia.org/wiki/Totteridge_%26_Whetstone_tube_station
West Finchley,Barnet,West Finchley tube station,https://en.wikipedia.org/wiki/West_Finchley_tube_station
Woodside Park,Barnet,Woodside Park tube station,https://en.wikipedia.org/wiki/Woodside_Park_tube_station
Alperton,Brent,Alperton tube station,https://en.wikipedia.org/wiki/Alperton_tube_station
Dollis Hill,Brent,Dollis Hill tube station,https://en.wikipedia.org/wiki/Dollis_Hill_tube_station
Harlesden,Brent,Harlesden station,https://en.wikipedia.org/wiki/Harlesden_station
Kensal Green,Brent,Kensal Green station,https://en.wikipedia.org/wiki/Kensal_Green_station
Kenton,Brent,Kenton station,https://en.wikipedia.org/wiki/Kenton_station
Kilburn Park,Brent,Kilburn Park tube station,https://en.wikipedia.org/wiki/Kilburn_Park_tube_station
Kilburn,Brent,Kilburn tube station,https://en.wikipedia.org/wiki/Kilburn_tube_station
Kingsbury,Brent,Kingsbury tube station,https://en.wikipedia.org/wiki/Kingsbury_tube_station
Neasden,Brent,Neasden tube station,https://en.wikipedia.org/wiki/Neasden_tube_station
North Wembley,Brent,North Wembley station,https://en.wikipedia.org/wiki/North_Wembley_station
Northwick Park,Brent,Northwick Park tube station,https://en.wikipedia.org/wiki/Northwick_Park_tube_station
Preston Road,Brent,Preston Road tube station,https://en.wikipedia.org/wiki/Preston_Road_tube_station
Queen's Park (England),Brent,Queen's Park station (England),https://en.wikipedia.org/wiki/Queen%27s_Park_station_(England)
Queensbury,Brent,Queensbury tube station,https://en.wikipedia.org/wiki/Queensbury_tube_station
South Kenton,Brent,South Kenton station,https://en.wikipedia.org/wiki/South_Kenton_station
Stonebridge Park,Brent,Stonebridge Park station,https://en.wikipedia.org/wiki/Stonebridge_Park_station
Sudbury Town,Brent,Sudbury Town tube station,https://en.wikipedia.org/wiki/Sudbury_Town_tube_station
Wembley Central,Brent,Wembley Central station,https://en.wikipedia.org/wiki/Wembley_Central_station
Wembley Park,Brent,Wembley Park tube station,https://en.wikipedia.org/wiki/Wembley_Park_tube_station
Willesden Green,Brent,Willesden Green tube station,https://en.wikipedia.org/wiki/Willesden_Green_tube_station
Willesden Junction,Brent,Willesden Junction station,https://en.wikipedia.org/wiki/Willesden_Junction_station
Belsize Park,Camden,Belsize Park tube station,https://en.wikipedia.org/wiki/Belsize_Park_tube_station
Camden Town,Camden,Camden Town tube station,https://en.wikipedia.org/wiki/Camden_Town_tube_station
Chalk Farm,Camden,Chalk Farm tube station,https://en.wikipedia.org/wiki/Chalk_Farm_tube_station
Chancery Lane,Camden,Chancery Lane tube station,https://en.wikipedia.org/wiki/Chancery_Lane_tube_station
Euston Square,Camden,Euston Square tube station,https://en.wikipedia.org/wiki/Euston_Square_tube_station
Euston,Camden,Euston tube station,https://en.wikipedia.org/wiki/Euston_tube_station
Finchley Road,Camden,Finchley Road tube station,https://en.wikipedia.org/wiki/Finchley_Road_tube_station
Goodge Street,Camden,Goodge Street tube station,https://en.wikipedia.org/wiki/Goodge_Street_tube_station
Hampstead,Camden,Hampstead tube station,https://en.wikipedia.org/wiki/Hampstead_tube_station
Holborn,Camden,Holborn tube station,https://en.wikipedia.org/wiki/Holborn_tube_station
Kentish Town,Camden,Kentish Town station,https://en.wikipedia.org/wiki/Kentish_Town_station
King's Cross St Pancras,Camden,King's Cross St Pancras tube station,https://en.wikipedia.org/wiki/King%27s_Cross_St_Pancras_tube_station
Mornington Crescent,Camden,Mornington Crescent tube station,https://en.wikipedia.org/wiki/Mornington_Crescent_tube_station
Russell Square,Camden,Russell Square tube station,https://en.wikipedia.org/wiki/Russell_Square_tube_station
Swiss Cottage,Camden,Swiss Cottage tube station,https://en.wikipedia.org/wiki/Swiss_Cottage_tube_station
