station_name,borough
Barking,Barking & Dagenham
Barking Riverside,Barking & Dagenham
Cheshunt,Borough of Broxbourne
Theobalds Grove,Borough of Broxbourne
Bushey,Borough of Watford
Watford High Street,Borough of Watford
Watford Junction,Borough of Watford
Brondesbury,Brent
Brondesbury Park,Brent
Harlesden,Brent
Kensal Green,Brent
Kensal Rise,Brent
Kenton,Brent
North Wembley,Brent
Queen's Park,Brent
South Kenton,Brent
Stonebridge Park,Brent
Wembley Central,Brent
Willesden Junction,Brent
Anerley,Bromley
Crystal Palace,Bromley
Penge West,Bromley
Camden Road,Camden
Euston,Camden
Finchley Road & Frognal,Camden
Gospel Oak,Camden
Hampstead Heath,Camden
Kentish Town West,Camden
Kilburn High Road,Camden
South Hampstead,Camden
West Hampstead,Camden
Liverpool Street,City of London
Norwood Junction,Croydon
West Croydon,Croydon
Carpenders Park,District of Three Rivers
Acton Central,Ealing
South Acton,Ealing
Bush Hill Park,Enfield
Edmonton Green,Enfield
Enfield Town,Enfield
Silver Street,Enfield
Southbury,Enfield
Turkey Street,Enfield
Clapton,Hackney
Dalston Junction,Hackney
Dalston Kingsland,Hackney
Hackney Central,Hackney
Hackney Downs,Hackney
Hackney Wick,Hackney
Haggerston,Hackney
Homerton,Hackney
Hoxton,Hackney
London Fields,Hackney
Rectory Road,Hackney
Stamford Hill,Hackney
Stoke Newington,Hackney
Imperial Wharf,Hammersmith & Fulham
Shepherd's Bush (Ovr),Hammersmith & Fulham
Bruce Grove,Haringey
Harringay Green Lanes,Haringey
Seven Sisters,Haringey
South Tottenham,Haringey
White Hart Lane,Haringey
Harrow & Wealdstone,Harrow
Hatch End,Harrow
Headstone Lane,Harrow
Emerson Park,Havering
Romford,Havering
Upminster,Havering
Gunnersbury,Hounslow
Caledonian Road & Barnsbury,Islington
Canonbury,Islington
Crouch Hill,Islington
Highbury & Islington,Islington
Upper Holloway,Islington
Kensington (Olympia),Kensington & Chelsea
West Brompton,Kensington & Chelsea
Clapham High Street,Lambeth
Wandsworth Road,Lambeth
Brockley,Lewisham
Forest Hill,Lewisham
Honor Oak Park,Lewisham
New Cross,Lewisham
New Cross Gate,Lewisham
Sydenham,Lewisham
Stratford,Newham
Wanstead Park,Newham
Woodgrange Park,Newham
Kew Gardens,Richmond upon Thames
Richmond,Richmond upon Thames
Canada Water,Southwark
Denmark Hill,Southwark
Peckham Rye,Southwark
Queens Road Peckham,Southwark
Rotherhithe,Southwark
Surrey Quays,Southwark
Bethnal Green,Tower Hamlets
Cambridge Heath,Tower Hamlets
Shadwell,Tower Hamlets
Wapping,Tower Hamlets
Whitechapel,Tower Hamlets
Shoreditch High Street,Tower Hamlets & Hackney
Blackhorse Road,Waltham Forest
Chingford,Waltham Forest
Highams Park,Waltham Forest
Leyton Midland Road,Waltham Forest
Leytonstone High Road,Waltham Forest
St. James Street,Waltham Forest
Walthamstow Central,Waltham Forest
Walthamstow Queen's Road,Waltham Forest
Wood Street,Waltham Forest
Battersea Park,Wandsworth
Clapham Junction,Wandsworth
