station_name,borough,borough_standardized
Bank ( from Monument),City of London,City of London
Tower Gateway ( from Fenchurch Street and from Tower Hill tube),City of London,City of London
Cutty Sark for Maritime Greenwich,Greenwich,Greenwich
Elverson Road,Greenwich,Greenwich
Greenwich,Greenwich,Greenwich
Woolwich Arsenal ( from Woolwich),Greenwich,Greenwich
Deptford Bridge,Lewisham,Lewisham
Lewisham,Lewisham,Lewisham
Abbey Road,Newham,Newham
Beckton,Newham,Newham
Beckton Park,Newham,Newham
Canning Town (High Level),Newham,Newham
Canning Town (Low Level),Newham,Newham
Custom House,Newham,Newham
Cyprus,Newham,Newham
Gallions Reach,Newham,Newham
King George V,Newham,Newham
London City Airport,Newham,Newham
Pontoon Dock,Newham,Newham
Prince Regent,Newham,Newham
Pudding Mill Lane,Newham,Newham
Royal Albert,Newham,Newham
Royal Victoria ( from IFS Cloud Royal Docks),Newham,Newham
Star Lane,Newham,Newham
Stratford (High Level),Newham,Newham
Stratford (Low Level),Newham,Newham
Stratford High Street,Newham,Newham
Stratford International,Newham,Newham
West Ham,Newham,Newham
West Silvertown,Newham,Newham
All Saints,Tower Hamlets,Tower Hamlets
Blackwall,Tower Hamlets,Tower Hamlets
Bow Church ( from Bow Road tube),Tower Hamlets,Tower Hamlets
Canary Wharf,Tower Hamlets,Tower Hamlets
Crossharbour,Tower Hamlets,Tower Hamlets
Devons Road,Tower Hamlets,Tower Hamlets
East India,Tower Hamlets,Tower Hamlets
Heron Quays ( from Canary Wharf tube),Tower Hamlets,Tower Hamlets
Island Gardens,Tower Hamlets,Tower Hamlets
Langdon Park,Tower Hamlets,Tower Hamlets
Limehouse,Tower Hamlets,Tower Hamlets
Mudchute,Tower Hamlets,Tower Hamlets
Poplar ( from Canary Wharf),Tower Hamlets,Tower Hamlets
Shadwell,Tower Hamlets,Tower Hamlets
South Quay,Tower Hamlets,Tower Hamlets
West India Quay ( from Canary Wharf),Tower Hamlets,Tower Hamlets
Westferry,Tower Hamlets,Tower Hamlets
