station_name,borough,borough_standardized
Barking,Barking & Dagenham,Barking & Dagenham
Barking Riverside,Barking & Dagenham,Barking & Dagenham
Cheshunt,Borough of Broxbourne,Out of London
Theobalds Grove,Borough of Broxbourne,Out of London
Bushey,Borough of Watford,Out of London
Watford High Street,Borough of Watford,Out of London
Watford Junction,Borough of Watford,Out of London
Brondesbury,Brent,Brent
Brondesbury Park,Brent,Brent
Harlesden,Brent,Brent
Kensal Green,Brent,Brent
Kensal Rise,Brent,Brent
Kenton,Brent,Brent
North Wembley,Brent,Brent
Queen's Park,Brent,Brent
South Kenton,Brent,Brent
Stonebridge Park,Brent,Brent
Wembley Central,Brent,Brent
Willesden Junction,Brent,Brent
Anerley,Bromley,Bromley
Crystal Palace,Bromley,Bromley
Penge West,Bromley,Bromley
Camden Road,Camden,Camden
Euston,Camden,Camden
Finchley Road & Frognal,Camden,Camden
Gospel Oak,Camden,Camden
Hampstead Heath,Camden,Camden
Kentish Town West,Camden,Camden
Kilburn High Road,Camden,Camden
South Hampstead,Camden,Camden
West Hampstead,Camden,Camden
Liverpool Street,City of London,City of London
Norwood Junction,Croydon,Croydon
West Croydon,Croydon,Croydon
Carpenders Park,District of Three Rivers,Out of London
Acton Central,Ealing,Ealing
South Acton,Ealing,Ealing
Bush Hill Park,Enfield,Enfield
Edmonton Green,Enfield,Enfield
Enfield Town,Enfield,Enfield
Silver Street,Enfield,Enfield
Southbury,Enfield,Enfield
Turkey Street,Enfield,Enfield
Clapton,Hackney,Hackney
Dalston Junction,Hackney,Hackney
Dalston Kingsland,Hackney,Hackney
Hackney Central,Hackney,Hackney
Hackney Downs,Hackney,Hackney
Hackney Wick,Hackney,Hackney
Haggerston,Hackney,Hackney
Homerton,Hackney,Hackney
Hoxton,Hackney,Hackney
London Fields,Hackney,Hackney
Rectory Road,Hackney,Hackney
Stamford Hill,Hackney,Hackney
Stoke Newington,Hackney,Hackney
Imperial Wharf,Hammersmith & Fulham,Hammersmith & Fulham
Shepherd's Bush (Ovr),Hammersmith & Fulham,Hammersmith & Fulham
Bruce Grove,Haringey,Haringey
Harringay Green Lanes,Haringey,Haringey
Seven Sisters,Haringey,Haringey
South Tottenham,Haringey,Haringey
White Hart Lane,Haringey,Haringey
Harrow & Wealdstone,Harrow,Harrow
Hatch End,Harrow,Harrow
Headstone Lane,Harrow,Harrow
Emerson Park,Havering,Havering
Romford,Havering,Havering
Upminster,Havering,Havering
Gunnersbury,Hounslow,Hounslow
Caledonian Road & Barnsbury,Islington,Islington
Canonbury,Islington,Islington
Crouch Hill,Islington,Islington
Highbury & Islington,Islington,Islington
Upper Holloway,Islington,Islington
Kensington (Olympia),Kensington & Chelsea,Kensington & Chelsea
West Brompton,Kensington & Chelsea,Kensington & Chelsea
Clapham High Street,Lambeth,Lambeth
Wandsworth Road,Lambeth,Lambeth
Brockley,Lewisham,Lewisham
Forest Hill,Lewisham,Lewisham
Honor Oak Park,Lewisham,Lewisham
New Cross,Lewisham,Lewisham
New Cross Gate,Lewisham,Lewisham
Sydenham,Lewisham,Lewisham
Stratford,Newham,Newham
Wanstead Park,Newham,Newham
Woodgrange Park,Newham,Newham
Kew Gardens,Richmond upon Thames,Richmond upon Thames
Richmond,Richmond upon Thames,Richmond upon Thames
Canada Water,Southwark,Southwark
Denmark Hill,Southwark,Southwark
Peckham Rye,Southwark,Southwark
Queens Road Peckham,Southwark,Southwark
Rotherhithe,Southwark,Southwark
Surrey Quays,Southwark,Southwark
Bethnal Green,Tower Hamlets,Tower Hamlets
Cambridge Heath,Tower Hamlets,Tower Hamlets
Shadwell,Tower Hamlets,Tower Hamlets
Wapping,Tower Hamlets,Tower Hamlets
Whitechapel,Tower Hamlets,Tower Hamlets
Shoreditch High Street,Tower Hamlets & Hackney,Tower Hamlets
Blackhorse Road,Waltham Forest,Waltham Forest
Chingford,Waltham Forest,Waltham Forest
Highams Park,Waltham Forest,Waltham Forest
Leyton Midland Road,Waltham Forest,Waltham Forest
Leytonstone High Road,Waltham Forest,Waltham Forest
St. James Street,Waltham Forest,Waltham Forest
Walthamstow Central,Waltham Forest,Waltham Forest
Walthamstow Queen's Road,Waltham Forest,Waltham Forest
Wood Street,Waltham Forest,Waltham Forest
Battersea Park,Wandsworth,Wandsworth
Clapham Junction,Wandsworth,Wandsworth
