station_name,borough,borough_standardized,system,full_name
Bank ( from Monument),City of London,City of London,DLR,
Tower Gateway ( from Fenchurch Street and from Tower Hill tube),City of London,City of London,DLR,
Cutty Sark for Maritime Greenwich,Greenwich,Greenwich,DLR,
Elverson Road,Greenwich,Greenwich,DLR,
Greenwich,Greenwich,Greenwich,DLR,
Woolwich Arsenal ( from Woolwich),Greenwich,Greenwich,DLR,
Deptford Bridge,Lewisham,Lewisham,DLR,
Lewisham,Lewisham,Lewisham,DLR,
Abbey Road,Newham,Newham,DLR,
Beckton,Newham,Newham,DLR,
Beckton Park,Newham,Newham,DLR,
Canning Town (High Level),Newham,Newham,DLR,
Canning Town (Low Level),Newham,Newham,DLR,
Custom House,Newham,Newham,DLR,
Cyprus,Newham,Newham,DLR,
Gallions Reach,Newham,Newham,DLR,
King George V,Newham,Newham,DLR,
London City Airport,Newham,Newham,DLR,
Pontoon Dock,Newham,Newham,DLR,
Prince Regent,Newham,Newham,DLR,
Pudding Mill Lane,Newham,Newham,DLR,
Royal Albert,Newham,Newham,DLR,
Royal Victoria ( from IFS Cloud Royal Docks),Newham,Newham,DLR,
Star Lane,Newham,Newham,DLR,
Stratford (High Level),Newham,Newham,DLR,
Stratford (Low Level),Newham,Newham,DLR,
Stratford High Street,Newham,Newham,DLR,
Stratford International,Newham,Newham,DLR,
West Ham,Newham,Newham,DLR,
West Silvertown,Newham,Newham,DLR,
All Saints,Tower Hamlets,Tower Hamlets,DLR,
Blackwall,Tower Hamlets,Tower Hamlets,DLR,
Bow Church ( from Bow Road tube),Tower Hamlets,Tower Hamlets,DLR,
Canary Wharf,Tower Hamlets,Tower Hamlets,DLR,
Crossharbour,Tower Hamlets,Tower Hamlets,DLR,
Devons Road,Tower Hamlets,Tower Hamlets,DLR,
East India,Tower Hamlets,Tower Hamlets,DLR,
Heron Quays ( from Canary Wharf tube),Tower Hamlets,Tower Hamlets,DLR,
Island Gardens,Tower Hamlets,Tower Hamlets,DLR,
Langdon Park,Tower Hamlets,Tower Hamlets,DLR,
Limehouse,Tower Hamlets,Tower Hamlets,DLR,
Mudchute,Tower Hamlets,Tower Hamlets,DLR,
Poplar ( from Canary Wharf),Tower Hamlets,Tower Hamlets,DLR,
Shadwell,Tower Hamlets,Tower Hamlets,DLR,
South Quay,Tower Hamlets,Tower Hamlets,DLR,
West India Quay ( from Canary Wharf),Tower Hamlets,Tower Hamlets,DLR,
Westferry,Tower Hamlets,Tower Hamlets,DLR,
Abbey Wood,Bexley & Royal Borough of Greenwich,Greenwich,ELZ,
Brentwood,Borough of Brentwood,Out of London,ELZ,
Shenfield,Borough of Brentwood,Out of London,ELZ,
Iver,Buckinghamshire,Out of London,ELZ,
Taplow,Buckinghamshire,Out of London,ELZ,
Tottenham Court Road,Camden,Camden,ELZ,
Liverpool Street,City of London,City of London,ELZ,
Acton Main Line,Ealing,Ealing,ELZ,
Ealing Broadway,Ealing,Ealing,ELZ,
Hanwell,Ealing,Ealing,ELZ,
Southall,Ealing,Ealing,ELZ,
West Ealing,Ealing,Ealing,ELZ,
Woolwich,Greenwich,Greenwich,ELZ,
Gidea Park,Havering,Havering,ELZ,
Harold Wood,Havering,Havering,ELZ,
Romford,Havering,Havering,ELZ,
Hayes & Harlington,Hillingdon,Hillingdon,ELZ,
Heathrow Terminal 4,Hillingdon,Hillingdon,ELZ,
Heathrow Terminal 5,Hillingdon,Hillingdon,ELZ,
Heathrow Terminals 2 & 3,Hillingdon,Hillingdon,ELZ,
West Drayton,Hillingdon,Hillingdon,ELZ,
Farringdon,Islington,Islington,ELZ,
Custom House,Newham,Newham,ELZ,
Forest Gate,Newham,Newham,ELZ,
Manor Park,Newham,Newham,ELZ,
Maryland,Newham,Newham,ELZ,
Stratford,Newham,Newham,ELZ,
Chadwell Heath,Redbridge,Redbridge,ELZ,
Goodmayes,Redbridge,Redbridge,ELZ,
Ilford,Redbridge,Redbridge,ELZ,
Seven Kings,Redbridge,Redbridge,ELZ,
Burnham,Slough,Out of London,ELZ,
Langley,Slough,Out of London,ELZ,
Canary Wharf,Tower Hamlets,Tower Hamlets,ELZ,
Whitechapel,Tower Hamlets,Tower Hamlets,ELZ,
Maidenhead,Unknown,Out of London,ELZ,
Reading,Unknown,Out of London,ELZ,
Slough,Unknown,Out of London,ELZ,
Twyford,Unknown,Out of London,ELZ,
Bond Street (ELZ),Westminster,Westminster,ELZ,
Paddington,Westminster,Westminster,ELZ,
Barking,Barking & Dagenham,Barking & Dagenham,LO,
Barking Riverside,Barking & Dagenham,Barking & Dagenham,LO,
Cheshunt,Borough of Broxbourne,Out of London,LO,
Theobalds Grove,Borough of Broxbourne,Out of London,LO,
Bushey,Borough of Watford,Out of London,LO,
Watford High Street,Borough of Watford,Out of London,LO,
Watford Junction,Borough of Watford,Out of London,LO,
Brondesbury,Brent,Brent,LO,
Brondesbury Park,Brent,Brent,LO,
Harlesden,Brent,Brent,LO,
Kensal Green,Brent,Brent,LO,
Kensal Rise,Brent,Brent,LO,
Kenton,Brent,Brent,LO,
North Wembley,Brent,Brent,LO,
Queen's Park,Brent,Brent,LO,
South Kenton,Brent,Brent,LO,
Stonebridge Park,Brent,Brent,LO,
Wembley Central,Brent,Brent,LO,
Willesden Junction,Brent,Brent,LO,
Anerley,Bromley,Bromley,LO,
Crystal Palace,Bromley,Bromley,LO,
Penge West,Bromley,Bromley,LO,
Camden Road,Camden,Camden,LO,
Euston,Camden,Camden,LO,
Finchley Road & Frognal,Camden,Camden,LO,
Gospel Oak,Camden,Camden,LO,
Hampstead Heath,Camden,Camden,LO,
Kentish Town West,Camden,Camden,LO,
Kilburn High Road,Camden,Camden,LO,
South Hampstead,Camden,Camden,LO,
West Hampstead,Camden,Camden,LO,
Liverpool Street,City of London,City of London,LO,
Norwood Junction,Croydon,Croydon,LO,
West Croydon,Croydon,Croydon,LO,
Carpenders Park,District of Three Rivers,Out of London,LO,
Acton Central,Ealing,Ealing,LO,
South Acton,Ealing,Ealing,LO,
Bush Hill Park,Enfield,Enfield,LO,
Edmonton Green,Enfield,Enfield,LO,
Enfield Town,Enfield,Enfield,LO,
Silver Street,Enfield,Enfield,LO,
Southbury,Enfield,Enfield,LO,
Turkey Street,Enfield,Enfield,LO,
Clapton,Hackney,Hackney,LO,
Dalston Junction,Hackney,Hackney,LO,
Dalston Kingsland,Hackney,Hackney,LO,
Hackney Central,Hackney,Hackney,LO,
Hackney Downs,Hackney,Hackney,LO,
Hackney Wick,Hackney,Hackney,LO,
Haggerston,Hackney,Hackney,LO,
Homerton,Hackney,Hackney,LO,
Hoxton,Hackney,Hackney,LO,
London Fields,Hackney,Hackney,LO,
Rectory Road,Hackney,Hackney,LO,
Stamford Hill,Hackney,Hackney,LO,
Stoke Newington,Hackney,Hackney,LO,
Imperial Wharf,Hammersmith & Fulham,Hammersmith & Fulham,LO,
Shepherd's Bush (Ovr),Hammersmith & Fulham,Hammersmith & Fulham,LO,
Bruce Grove,Haringey,Haringey,LO,
Harringay Green Lanes,Haringey,Haringey,LO,
Seven Sisters,Haringey,Haringey,LO,
South Tottenham,Haringey,Haringey,LO,
White Hart Lane,Haringey,Haringey,LO,
Harrow & Wealdstone,Harrow,Harrow,LO,
Hatch End,Harrow,Harrow,LO,
Headstone Lane,Harrow,Harrow,LO,
Emerson Park,Havering,Havering,LO,
Romford,Havering,Havering,LO,
