station_name,borough,full_name,borough_standardized
Barking,Barking & Dagenham,Barking station,Barking & Dagenham
Becontree,Barking & Dagenham,Becontree tube station,Barking & Dagenham
Dagenham East,Barking & Dagenham,Dagenham East tube station,Barking & Dagenham
Dagenham Heathway,Barking & Dagenham,Dagenham Heathway tube station,Barking & Dagenham
Upney,Barking & Dagenham,Upney tube station,Barking & Dagenham
Brent Cross,Barnet,Brent Cross tube station,Barnet
Burnt Oak,Barnet,Burnt Oak tube station,Barnet
Colindale,Barnet,Colindale tube station,Barnet
East Finchley,Barnet,East Finchley tube station,Barnet
Edgware,Barnet,Edgware tube station,Barnet
Finchley Central,Barnet,Finchley Central tube station,Barnet
Golders Green,Barnet,Golders Green tube station,Barnet
Hendon Central,Barnet,Hendon Central tube station,Barnet
High Barnet,Barnet,High Barnet tube station,Barnet
Mill Hill East,Barnet,Mill Hill East tube station,Barnet
Totteridge & Whetstone,Barnet,Totteridge & Whetstone tube station,Barnet
West Finchley,Barnet,West Finchley tube station,Barnet
Woodside Park,Barnet,Woodside Park tube station,Barnet
Alperton,Brent,Alperton tube station,Brent
Dollis Hill,Brent,Dollis Hill tube station,Brent
Harlesden,Brent,Harlesden station,Brent
Kensal Green,Brent,Kensal Green station,Brent
Kenton,Brent,Kenton station,Brent
Kilburn,Brent,Kilburn tube station,Brent
Kilburn Park,Brent,Kilburn Park tube station,Brent
Kingsbury,Brent,Kingsbury tube station,Brent
Neasden,Brent,Neasden tube station,Brent
North Wembley,Brent,North Wembley station,Brent
Northwick Park,Brent,Northwick Park tube station,Brent
Preston Road,Brent,Preston Road tube station,Brent
Queen's Park,Brent,Queen's Park station (England),Brent
Queensbury,Brent,Queensbury tube station,Brent
South Kenton,Brent,South Kenton station,Brent
Stonebridge Park,Brent,Stonebridge Park station,Brent
Sudbury Town,Brent,Sudbury Town tube station,Brent
Wembley Central,Brent,Wembley Central station,Brent
Wembley Park,Brent,Wembley Park tube station,Brent
Willesden Green,Brent,Willesden Green tube station,Brent
Willesden Junction,Brent,Willesden Junction station,Brent
Belsize Park,Camden,Belsize Park tube station,Camden
Camden Town,Camden,Camden Town tube station,Camden
Chalk Farm,Camden,Chalk Farm tube station,Camden
Chancery Lane,Camden,Chancery Lane tube station,Camden
Euston,Camden,Euston tube station,Camden
Euston Square,Camden,Euston Square tube station,Camden
Finchley Road,Camden,Finchley Road tube station,Camden
Goodge Street,Camden,Goodge Street tube station,Camden
Hampstead,Camden,Hampstead tube station,Camden
Holborn,Camden,Holborn tube station,Camden
Kentish Town,Camden,Kentish Town station,Camden
King's Cross St. Pancras,Camden,King's Cross St Pancras tube station,Camden
Mornington Crescent,Camden,Mornington Crescent tube station,Camden
Russell Square,Camden,Russell Square tube station,Camden
Swiss Cottage,Camden,Swiss Cottage tube station,Camden
Warren Street,Camden,Warren Street tube station,Camden
West Hampstead,Camden,West Hampstead tube station,Camden
Aldgate,City of London,Aldgate tube station,City of London
Bank / Monument,City of London,Bank and Monument stations,City of London
Barbican,City of London,Barbican tube station,City of London
Blackfriars,City of London,Blackfriars station,City of London
Cannon Street,City of London,Cannon Street station,City of London
King William Street,City of London,King William Street tube station,City of London
Liverpool Street,City of London,Liverpool Street station,City of London
Lothbury,City of London,Lothbury tube station,City of London
Ludgate Circus,City of London,Ludgate Circus tube station,City of London
Mansion House,City of London,Mansion House tube station,City of London
Mark Lane,City of London,Mark Lane tube station,City of London
Moorgate,City of London,Moorgate station,City of London
St. Paul's,City of London,St Paul's tube station,City of London
Acton Town,Ealing,Acton Town tube station,Ealing
Chiswick Park,Ealing,Chiswick Park tube station,Ealing
Ealing Broadway,Ealing,Ealing Broadway station,Ealing
Ealing Common,Ealing,Ealing Common tube station,Ealing
Greenford,Ealing,Greenford station,Ealing
Hanger Lane,Ealing,Hanger Lane tube station,Ealing
North Acton,Ealing,North Acton tube station,Ealing
North Ealing,Ealing,North Ealing tube station,Ealing
Northfields,Ealing,Northfields tube station,Ealing
Northolt,Ealing,Northolt tube station,Ealing
Park Royal,Ealing,Park Royal tube station,Ealing
Perivale,Ealing,Perivale tube station,Ealing
South Ealing,Ealing,South Ealing tube station,Ealing
West Acton,Ealing,West Acton tube station,Ealing
Arnos Grove,Enfield,Arnos Grove tube station,Enfield
Cockfosters,Enfield,Cockfosters tube station,Enfield
Oakwood,Enfield,Oakwood tube station,Enfield
Southgate,Enfield,Southgate tube station,Enfield
North Greenwich,Greenwich,North Greenwich tube station,Greenwich
Manor House,Hackney,Manor House tube station,Hackney
Barons Court,Hammersmith & Fulham,Barons Court tube station,Hammersmith & Fulham
East Acton,Hammersmith & Fulham,East Acton tube station,Hammersmith & Fulham
Fulham Broadway,Hammersmith & Fulham,Fulham Broadway tube station,Hammersmith & Fulham
Goldhawk Road,Hammersmith & Fulham,Goldhawk Road tube station,Hammersmith & Fulham
Hammersmith (Dis),Hammersmith & Fulham,Hammersmith tube station (District and Piccadilly lines),Hammersmith & Fulham
Hammersmith (H&C),Hammersmith & Fulham,Hammersmith tube station (Circle and Hammersmith & City lines),Hammersmith & Fulham
Paddenswick Road,Hammersmith & Fulham,Paddenswick Road tube station,Hammersmith & Fulham
Parsons Green,Hammersmith & Fulham,Parsons Green tube station,Hammersmith & Fulham
Putney Bridge,Hammersmith & Fulham,Putney Bridge tube station,Hammersmith & Fulham
Ravenscourt Park,Hammersmith & Fulham,Ravenscourt Park tube station,Hammersmith & Fulham
Rylett Road,Hammersmith & Fulham,Rylett Road tube station,Hammersmith & Fulham
Shepherd's Bush (Cen),Hammersmith & Fulham,Shepherd's Bush tube station,Hammersmith & Fulham
Shepherd's Bush Market,Hammersmith & Fulham,Shepherd's Bush Market tube station,Hammersmith & Fulham
The Grove,Hammersmith & Fulham,The Grove tube station,Hammersmith & Fulham
West Kensington,Hammersmith & Fulham,West Kensington tube station,Hammersmith & Fulham
White City,Hammersmith & Fulham,White City tube station,Hammersmith & Fulham
Wood Lane,Hammersmith & Fulham,Wood Lane tube station,Hammersmith & Fulham
Bounds Green,Haringey,Bounds Green tube station,Haringey
Highgate,Haringey,Highgate tube station,Haringey
Seven Sisters,Haringey,Seven Sisters station,Haringey
Tottenham Hale,Haringey,Tottenham Hale station,Haringey
Turnpike Lane,Haringey,Turnpike Lane tube station,Haringey
Wood Green,Haringey,Wood Green tube station,Haringey
Canons Park,Harrow,Canons Park tube station,Harrow
Harrow & Wealdstone,Harrow,Harrow & Wealdstone station,Harrow
Harrow-on-the-Hill,Harrow,Harrow-on-the-Hill station,Harrow
North Harrow,Harrow,North Harrow tube station,Harrow
Pinner,Harrow,Pinner tube station,Harrow
Rayners Lane,Harrow,Rayners Lane tube station,Harrow
South Harrow,Harrow,South Harrow tube station,Harrow
Stanmore,Harrow,Stanmore tube station,Harrow
Sudbury Hill,Harrow,Sudbury Hill tube station,Harrow
West Harrow,Harrow,West Harrow tube station,Harrow
Elm Park,Havering,Elm Park tube station,Havering
Hornchurch,Havering,Hornchurch tube station,Havering
Upminster,Havering,Upminster station,Havering
Upminster Bridge,Havering,Upminster Bridge tube station,Havering
Eastcote,Hillingdon,Eastcote tube station,Hillingdon
Hatton Cross,Hillingdon,Hatton Cross tube station,Hillingdon
Heathrow Terminal 4,Hillingdon,Heathrow Terminal 4 tube station,Hillingdon
Heathrow Terminal 5,Hillingdon,Heathrow Terminal 5 station,Hillingdon
Heathrow Terminals 123,Hillingdon,Heathrow Terminals 2 & 3 tube station,Hillingdon
Hillingdon,Hillingdon,Hillingdon tube station,Hillingdon
Ickenham,Hillingdon,Ickenham tube station,Hillingdon
Northwood,Hillingdon,Northwood tube station,Hillingdon
Northwood Hills,Hillingdon,Northwood Hills tube station,Hillingdon
Ruislip,Hillingdon,Ruislip tube station,Hillingdon
Ruislip Gardens,Hillingdon,Ruislip Gardens tube station,Hillingdon
Ruislip Manor,Hillingdon,Ruislip Manor tube station,Hillingdon
