NLC,Station
750,Abbey Road
5131,Abbey Wood
1404,Acton Central
3000,Acton Main Line
500,Acton Town
9441,Addington Village
9440,Addiscombe
502,Aldgate
503,Aldgate East
850,All Saints
505,Alperton
506,Amersham
9442,Ampere Way
5397,Anerley
507,Angel
508,Archway
9443,Arena
509,Arnos Grove
510,Arsenal
9444,Avenue Road
511,Baker Street
512,Balham LU
513,Bank and Monument
501,Barbican
514,Barking
1335,Barking Riverside
515,Barkingside
516,Barons Court
5420,Battersea Park
832,Battersea Power Station
517,Bayswater
9445,Beckenham Junction Trams
9446,Beckenham Road
895,Beckton
891,Beckton Park
518,Becontree
9449,Beddington Lane
9450,Belgrave Walk
519,Belsize Park
787,Bermondsey
6961,Bethnal Green LO
520,Bethnal Green LU
9454,Birkbeck Trams
521,Blackfriars LU
9459,Blackhorse Lane
522,Blackhorse Road
882,Blackwall
524,Bond Street
525,Borough
526,Boston Manor
527,Bounds Green
851,Bow Church
528,Bow Road
529,Brent Cross
6872,Brentwood
778,Brixton LU
5404,Brockley
530,Bromley-by-Bow
1437,Brondesbury
1438,Brondesbury Park
6958,Bruce Grove
531,Buckhurst Hill
3176,Burnham
532,Burnt Oak
6913,Bush Hill Park
1395,Bushey
534,Caledonian Road
1439,Caledonian Road & Barnsbury
6962,Cambridge Heath
1440,Camden Road
535,Camden Town
788,Canada Water
842,Canary Wharf DLR
6560,Canary Wharf EL
852,Canary Wharf LU
884,Canning Town
536,Cannon Street LU
1441,Canonbury
537,Canons Park
1442,Carpenders Park
9488,Centrale
6874,Chadwell Heath
539,Chalfont & Latimer
540,Chalk Farm
541,Chancery Lane
718,Charing Cross LU
543,Chesham
6814,Cheshunt
544,Chigwell
6914,Chingford
545,Chiswick Park
546,Chorleywood
9460,Church Street
547,Clapham Common
5301,Clapham High Street
5595,Clapham Junction
548,Clapham North
549,Clapham South
6926,Clapton
550,Cockfosters
551,Colindale
552,Colliers Wood
9464,Coombe Lane
553,Covent Garden
854,Crossharbour
7406,Crouch Hill
554,Croxley
5356,Crystal Palace
887,Custom House
6561,Custom House EL
879,Cutty Sark
893,Cyprus
555,Dagenham East
556,Dagenham Heathway
1443,Dalston Junction
1429,Dalston Kingsland
557,Debden
5421,Denmark Hill
897,Deptford Bridge
867,Devons Road
558,Dollis Hill
9468,Dundonald Road
560,Ealing Broadway
561,Ealing Common
562,Earl's Court
563,East Acton
9470,East Croydon Trams
565,East Finchley
566,East Ham
883,East India
567,East Putney
564,Eastcote
568,Edgware
774,Edgware Road (Bak)
569,Edgware Road (DIS)
6941,Edmonton Green
570,Elephant & Castle LU
571,Elm Park
9471,Elmers End
898,Elverson Road
542,Embankment
7473,Emerson Park
6959,Enfield Town
572,Epping
574,Euston LU
1444,Euston NR
575,Euston Square
576,Fairlop
577,Farringdon
9472,Fieldway
578,Finchley Central
579,Finchley Road
1445,Finchley Road & Frognal
580,Finsbury Park LU
6876,Forest Gate
5362,Forest Hill
581,Fulham Broadway
894,Gallions Reach
582,Gants Hill
9473,George Street
6877,Gidea Park
583,Gloucester Road
584,Golders Green
585,Goldhawk Road
586,Goodge Street
6878,Goodmayes
1409,Gospel Oak
587,Grange Hill
9474,Gravel Hill
588,Great Portland Street
590,Green Park
589,Greenford
928,Greenwich
591,Gunnersbury
6977,Hackney Central
6867,Hackney Downs
6978,Hackney Wick
1022,Haggerston
592,Hainault
593,Hammersmith (DIS)
773,Hammersmith (H&C)
594,Hampstead
1413,Hampstead Heath
595,Hanger Lane
3191,Hanwell
596,Harlesden
6879,Harold Wood
7401,Harringay Green Lanes
9475,Harrington Road
597,Harrow & Wealdstone
598,Harrow-on-the-Hill
1398,Hatch End
779,Hatton Cross
3186,Hayes & Harlington
1434,Headstone Lane
7091,Heathrow Terminal 4 EL
781,Heathrow Terminal 4 LU
9846,Heathrow Terminal 5 EL
783,Heathrow Terminal 5 LU
780,Heathrow Terminals 123 LU
7090,Heathrow Terminals 2 & 3 EL
601,Hendon Central
855,Heron Quays
602,High Barnet
605,High Street Kensington
6919,Highams Park
603,Highbury & Islington
604,Highgate
606,Hillingdon
607,Holborn
608,Holland Park
609,Holloway Road
6979,Homerton
5418,Honor Oak Park
610,Hornchurch
611,Hounslow Central
612,Hounslow East
613,Hounslow West
1023,Hoxton
614,Hyde Park Corner
615,Ickenham
6881,Ilford
9586,Imperial Wharf
856,Island Gardens
3170,Iver
616,Kennington
617,Kensal Green
1448,Kensal Rise
618,Kensington (Olympia)
619,Kentish Town
1449,Kentish Town West
620,Kenton
621,Kew Gardens
622,Kilburn
1415,Kilburn High Road
623,Kilburn Park
523,King George V
9476,King Henry's Drive
625,King's Cross St. Pancras
624,Kingsbury
626,Knightsbridge
627,Ladbroke Grove
628,Lambeth North
629,Lancaster Gate
853,Langdon Park
3171,Langley
630,Latimer Road
9477,Lebanon Road
631,Leicester Square
940,Lewisham DLR
632,Leyton
7402,Leyton Midland Road
633,Leytonstone
7403,Leytonstone High Road
862,Limehouse DLR
634,Liverpool Street LU
6965,Liverpool Street NR
9478,Lloyd Park
635,London Bridge LU
533,London City Airport
6966,London Fields
636,Loughton
637,Maida Vale
3147,Maidenhead
638,Manor House
6883,Manor Park
639,Mansion House
640,Marble Arch
6970,Maryland
641,Marylebone LU
9479,Merton Park
642,Mile End
643,Mill Hill East
9480,Mitcham
9481,Mitcham Junction
646,Moor Park
645,Moorgate
647,Morden
