NLC,Station,Borough
750,Abbey Road,Newham
5131,Abbey Wood,Greenwich
1404,Acton Central,Ealing
3000,Acton Main Line,Ealing
500,Acton Town,Ealing
502,Aldgate,City of London
503,Aldgate East,Tower Hamlets
850,All Saints,Tower Hamlets
505,Alperton,Brent
506,Amersham,Out of London
5397,Anerley,Bromley
507,Angel,Islington
508,Archway,Islington
509,Arnos Grove,Enfield
510,Arsenal,Islington
511,Baker Street,Westminster
512,Balham LU,Wandsworth
513,Bank and Monument,City of London
501,Barbican,City of London
514,Barking,Barking & Dagenham
1335,Barking Riverside,Barking & Dagenham
515,Barkingside,Redbridge
516,Barons Court,Hammersmith & Fulham
5420,Battersea Park,Wandsworth
832,Battersea Power Station,Wandsworth
517,Bayswater,Westminster
895,Beckton,Newham
891,Beckton Park,Newham
518,Becontree,Barking & Dagenham
519,Belsize Park,Camden
787,Bermondsey,Southwark
6961,Bethnal Green LO,Tower Hamlets
520,Bethnal Green LU,Tower Hamlets
521,Blackfriars LU,City of London
522,Blackhorse Road,Waltham Forest
882,Blackwall,Tower Hamlets
524,Bond Street,Westminster
525,Borough,Southwark
526,Boston Manor,Hounslow
527,Bounds Green,Haringey
851,Bow Church,Tower Hamlets
528,Bow Road,Tower Hamlets
529,Brent Cross,Barnet
6872,Brentwood,Out of London
778,Brixton LU,Lambeth
5404,Brockley,Lewisham
530,Bromley-by-Bow,Tower Hamlets
1437,Brondesbury,Brent
1438,Brondesbury Park,Brent
6958,Bruce Grove,Haringey
531,Buckhurst Hill,Out of London
3176,Burnham,Out of London
532,Burnt Oak,Barnet
6913,Bush Hill Park,Enfield
1395,Bushey,Out of London
534,Caledonian Road,Islington
1439,Caledonian Road & Barnsbury,Islington
6962,Cambridge Heath,Tower Hamlets
1440,Camden Road,Camden
535,Camden Town,Camden
788,Canada Water,Southwark
842,Canary Wharf DLR,Tower Hamlets
6560,Canary Wharf EL,Tower Hamlets
852,Canary Wharf LU,Tower Hamlets
884,Canning Town,Newham
536,Cannon Street LU,City of London
1441,Canonbury,Islington
537,Canons Park,Harrow
1442,Carpenders Park,Out of London
6874,Chadwell Heath,Redbridge
539,Chalfont & Latimer,Out of London
540,Chalk Farm,Camden
541,Chancery Lane,Camden
718,Charing Cross LU,Westminster
543,Chesham,Out of London
6814,Cheshunt,Out of London
544,Chigwell,Out of London
6914,Chingford,Waltham Forest
545,Chiswick Park,Ealing
546,Chorleywood,Out of London
547,Clapham Common,Lambeth
5301,Clapham High Street,Lambeth
5595,Clapham Junction,Wandsworth
548,Clapham North,Lambeth
549,Clapham South,Wandsworth
6926,Clapton,Hackney
550,Cockfosters,Enfield
551,Colindale,Barnet
552,Colliers Wood,Merton
553,Covent Garden,Westminster
854,Crossharbour,Tower Hamlets
7406,Crouch Hill,Islington
554,Croxley,Out of London
5356,Crystal Palace,Bromley
887,Custom House,Newham
6561,Custom House EL,Newham
879,Cutty Sark,Greenwich
893,Cyprus,Newham
555,Dagenham East,Barking & Dagenham
556,Dagenham Heathway,Barking & Dagenham
1443,Dalston Junction,Hackney
1429,Dalston Kingsland,Hackney
557,Debden,Out of London
5421,Denmark Hill,Southwark
897,Deptford Bridge,Lewisham
867,Devons Road,Tower Hamlets
558,Dollis Hill,Brent
560,Ealing Broadway,Ealing
561,Ealing Common,Ealing
562,Earl's Court,Kensington & Chelsea
563,East Acton,Hammersmith & Fulham
565,East Finchley,Barnet
566,East Ham,Newham
883,East India,Tower Hamlets
567,East Putney,Wandsworth
564,Eastcote,Hillingdon
568,Edgware,Barnet
774,Edgware Road (Bak),Westminster
569,Edgware Road (DIS),Westminster
