Station,NLC
"""Heathrow Terminals 1, 2 & 3""",780
Acton Town,500
Aldgate,502
Aldgate East,503
Alperton,505
Amersham,506
Angel,507
Archway,508
Arnos Grove,509
Arsenal,510
Baker Street,511
Balham,512
Bank,513
Barbican,501
Barking,514
Barkingside,515
Barons Court,516
Bayswater,517
Becontree,518
Belsize Park,519
Bermondsey,787
Bethnal Green,520
Blackfriars,521
Blackhorse Road,522
Bond Street,524
Borough,525
Boston Manor,526
Bounds Green,527
Bow Road,528
Brent Cross,529
Brixton,778
Bromley-by-Bow,530
Buckhurst Hill,531
Burnt Oak,532
Caledonian Road,534
Camden Town,535
Canada Water,788
Canary Wharf,852
Canning Town,884
Cannon Street,536
Canons Park,537
Chalfont & Latimer,539
Chalk Farm,540
Chancery Lane,541
Charing Cross,718
Chesham,543
Chigwell,544
Chiswick Park,545
Chorleywood,546
Clapham Common,547
Clapham North,548
Clapham South,549
Cockfosters,550
Colindale,551
Colliers Wood,552
Covent Garden,553
Croxley,554
Dagenham East,555
Dagenham Heathway,556
Debden,557
Dollis Hill,558
Ealing Broadway,560
Ealing Common,561
Earl's Court,562
East Acton,563
East Finchley ,565
East Ham,566
East Putney,567
Eastcote,564
Edgware,568
Edgware Road,569
Edgware Road,774
Elephant & Castle,570
Elm Park,571
Embankment,542
Epping,572
Euston,574
Euston Square,575
Fairlop,576
Farringdon,577
Finchley Central,578
Finchley Road,579
Finsbury Park,580
Fulham Broadway,581
Gants Hill,582
Gloucester Road,583
Golders Green,584
Goldhawk Road,585
Goodge Street,586
Grange Hill,587
Great Portland Street,588
Green Park,590
Greenford,589
Gunnersbury,591
Hainault,592
Hammersmith,773
Hammersmith,593
Hampstead,594
Hanger Lane,595
Harlesden,596
Harrow & Wealdstone,597
Harrow-on-the-Hill,598
Hatton Cross,779
Heathrow Terminal 4,781
Heathrow Terminal 5,783
Hendon Central,601
High Barnet,602
High Street Kensington,605
Highbury & Islington,603
Highgate,604
Hillingdon,606
Holborn,607
Holland Park,608
Holloway Road,609
Hornchurch,610
Hounslow Central,611
Hounslow East,612
Hounslow West,613
Hyde Park Corner,614
Ickenham,615
Kennington,616
Kensal Green,617
Kensington (Olympia),618
Kentish Town,619
Kenton,620
Kew Gardens,621
Kilburn,622
Kilburn Park,623
Kings Cross St Pancras,625
Kingsbury,624
Knightsbridge,626
Ladbroke Grove,627
Lambeth North,628
Lancaster Gate,629
Latimer Road,630
Leicester Square,631
Leyton,632
Leytonstone,633
Liverpool Street,634
London Bridge,635
Loughton,636
Maida Vale,637
Manor House,638
Mansion House,639
Marble Arch,640
Marylebone,641
Mile End,642
Mill Hill East,643
Monument,644
Moor Park,646
Moorgate,645
Morden,647
Mornington Crescent,648
Neasden,649
Newbury Park,650
North Acton,653
North Ealing,654
North Greenwich,789
North Harrow,656
North Wembley,659
Northfields,655
Northolt,657
Northwick Park,660
Northwood,661
Northwood Hills,662
Notting Hill Gate,663
Oakwood,664
Old Street,665
Osterley,667
Oval,668
Oxford Circus,669
Paddington,670
Park Royal,671
Parsons Green,672
Perivale,673
Piccadilly Circus,674
Pimlico,776
Pinner,675
Plaistow,676
Preston Road,677
Putney Bridge,678
Queens Park,680
Queensbury,679
Queensway,681
Ravenscourt Park,682
Rayners Lane,683
Redbridge,684
Regent's Park,685
Richmond,686
Rickmansworth,687
Roding Valley,688
Royal Oak,690
Ruislip,691
Ruislip Gardens,692
Ruislip Manor,693
Russell Square,694
Seven Sisters,698
Shepherds Bush,700
Shepherds Bush Market,775
Sloane Square,702
Snaresbrook,703
South Ealing,704
South Harrow,707
South Kensington,708
South Kenton,709
South Ruislip,710
South Wimbledon,711
South Woodford,712
Southfields,705
Southgate,706
Southwark,784
St James's Park,695
St John's Wood,696
St Paul's,697
Stamford Brook,713
Stanmore,714
Stepney Green,715
Stockwell,716
Stonebridge Park,717
Stratford,719
Sudbury Hill,720
Sudbury Town,721
Swiss Cottage,723
Temple,724
Theydon Bois,725
Tooting Bec,726
Tooting Broadway,727
Tottenham Court Road,728
Tottenham Hale,729
Totteridge & Whetstone,730
Tower Hill,731
Tufnell Park,733
Turnham Green,734
Turnpike Lane,735
Upminster,736
Upminster Bridge,737
Upney,738
Upton Park,739
Uxbridge,740
Vauxhall,777
Victoria,741
Walthamstow Central,742
Wanstead,743
Warren Street,745
Warwick Avenue,746
Waterloo,747
Watford,748
Wembley Central,751
Wembley Park,752
West Acton,753
West Brompton,755
West Finchley,756
West Ham,757
West Hampstead,758
West Harrow,759
West Kensington,760
West Ruislip,762
Westbourne Park,754
Westminster,761
White City,764
Whitechapel,763
Willesden Green,765
Willesden Junction,766
Wimbledon,767
Wimbledon Park,768
Wood Green,770
Wood Lane,599
Woodford,769
Woodside Park,771
