station_name,borough
Abbey Wood,Bexley & Royal Borough of Greenwich
Brentwood,Borough of Brentwood
Shenfield,Borough of Brentwood
Iver,Buckinghamshire
Taplow,Buckinghamshire
Tottenham Court Road,Camden
Liverpool Street,City of London
Acton Main Line,Ealing
Ealing Broadway,Ealing
Hanwell,Ealing
Southall,Ealing
West Ealing,Ealing
Woolwich,Greenwich
Gidea Park,Havering
Harold Wood,Havering
Romford,Havering
Hayes & Harlington,Hillingdon
Heathrow Terminal 4,Hillingdon
Heathrow Terminal 5,Hillingdon
Heathrow Terminals 2 & 3,Hillingdon
West Drayton,Hillingdon
Farringdon,Islington
Custom House,Newham
Forest Gate,Newham
Manor Park,Newham
Maryland,Newham
Stratford,Newham
Chadwell Heath,Redbridge
Goodmayes,Redbridge
Ilford,Redbridge
Seven Kings,Redbridge
Burnham,Slough
Langley,Slough
Canary Wharf,Tower Hamlets
Whitechapel,Tower Hamlets
Maidenhead,Unknown
Reading,Unknown
Slough,Unknown
Twyford,Unknown
Bond Street (ELZ),Westminster
Paddington,Westminster
