station_name,borough,full_name,url
Abbey Road,Newham,Abbey Road,https://en.wikipedia.org/wiki/Abbey_Road_DLR_station
All Saints,Tower Hamlets,All Saints,https://en.wikipedia.org/wiki/All_Saints_DLR_station
Bank,City of London,Bank,https://en.wikipedia.org/wiki/Bank_and_Monument_stations
Beckton,Newham,Beckton,https://en.wikipedia.org/wiki/Beckton_DLR_station
Beckton Park,Newham,Beckton Park,https://en.wikipedia.org/wiki/Beckton_Park_DLR_station
Blackwall,Tower Hamlets,Blackwall,https://en.wikipedia.org/wiki/Blackwall_DLR_station
Bow Church,Tower Hamlets,Bow Church,https://en.wikipedia.org/wiki/Bow_Church_DLR_station
Canary Wharf,Tower Hamlets,Canary Wharf,https://en.wikipedia.org/wiki/Canary_Wharf_DLR_station
Canning Town,Newham,Canning Town,https://en.wikipedia.org/wiki/Canning_Town_station
Canning Town,31 August 2011[4][5],Canning Town,https://en.wikipedia.org/wiki/Canning_Town_station
Crossharbour,Tower Hamlets,Crossharbour,https://en.wikipedia.org/wiki/Crossharbour_DLR_station
Custom House,Newham,Custom House,https://en.wikipedia.org/wiki/Custom_House_station
Cutty Sark for Maritime Greenwich,Greenwich,Cutty Sark for Maritime Greenwich,https://en.wikipedia.org/wiki/Cutty_Sark_for_Maritime_Greenwich_DLR_station
Cyprus,Newham,Cyprus,https://en.wikipedia.org/wiki/Cyprus_DLR_station
Deptford Bridge,Lewisham,Deptford Bridge,https://en.wikipedia.org/wiki/Deptford_Bridge_DLR_station
Devons Road,Tower Hamlets,Devons Road,https://en.wikipedia.org/wiki/Devons_Road_DLR_station
East India,Tower Hamlets,East India,https://en.wikipedia.org/wiki/East_India_DLR_station
Elverson Road,Greenwich,Elverson Road,https://en.wikipedia.org/wiki/Elverson_Road_DLR_station
Gallions Reach,Newham,Gallions Reach,https://en.wikipedia.org/wiki/Gallions_Reach_DLR_station
Greenwich,Greenwich,Greenwich,https://en.wikipedia.org/wiki/Greenwich_station
Heron Quays,Tower Hamlets,Heron Quays,https://en.wikipedia.org/wiki/Heron_Quays_DLR_station
Island Gardens,Tower Hamlets,Island Gardens,https://en.wikipedia.org/wiki/Island_Gardens_DLR_station
King George V,Newham,King George V,https://en.wikipedia.org/wiki/King_George_V_DLR_station
Langdon Park,Tower Hamlets,Langdon Park,https://en.wikipedia.org/wiki/Langdon_Park_DLR_station
Lewisham,Lewisham,Lewisham,https://en.wikipedia.org/wiki/Lewisham_station
Limehouse,Tower Hamlets,Limehouse,https://en.wikipedia.org/wiki/Limehouse_station
London City Airport,Newham,London City Airport,https://en.wikipedia.org/wiki/London_City_Airport_DLR_station
Mudchute,Tower Hamlets,Mudchute,https://en.wikipedia.org/wiki/Mudchute_DLR_station
Pontoon Dock,Newham,Pontoon Dock,https://en.wikipedia.org/wiki/Pontoon_Dock_DLR_station
Poplar,Tower Hamlets,Poplar,https://en.wikipedia.org/wiki/Poplar_DLR_station
Prince Regent,Newham,Prince Regent,https://en.wikipedia.org/wiki/Prince_Regent_DLR_station
Pudding Mill Lane,Newham,Pudding Mill Lane,https://en.wikipedia.org/wiki/Pudding_Mill_Lane_DLR_station
Royal Albert,Newham,Royal Albert,https://en.wikipedia.org/wiki/Royal_Albert_DLR_station
Royal Victoria,Newham,Royal Victoria,https://en.wikipedia.org/wiki/Royal_Victoria_DLR_station
Shadwell,Tower Hamlets,Shadwell,https://en.wikipedia.org/wiki/Shadwell_DLR_station
South Quay,Tower Hamlets,South Quay,https://en.wikipedia.org/wiki/South_Quay_DLR_station
Star Lane,Newham,Star Lane,https://en.wikipedia.org/wiki/Star_Lane_DLR_station
Stratford,Newham,Stratford,https://en.wikipedia.org/wiki/Stratford_station
Stratford,31 August 2011[4][5],Stratford,https://en.wikipedia.org/wiki/Stratford_station
Stratford High Street,Newham,Stratford High Street,https://en.wikipedia.org/wiki/Stratford_High_Street_DLR_station
Stratford International,Newham,Stratford International,https://en.wikipedia.org/wiki/Stratford_International_station
Tower Gateway,City of London,Tower Gateway,https://en.wikipedia.org/wiki/Tower_Gateway_DLR_station
West Ham,Newham,West Ham,https://en.wikipedia.org/wiki/West_Ham_station
West India Quay,Tower Hamlets,West India Quay,https://en.wikipedia.org/wiki/West_India_Quay_DLR_station
West Silvertown,Newham,West Silvertown,https://en.wikipedia.org/wiki/West_Silvertown_DLR_station
Westferry,Tower Hamlets,Westferry,https://en.wikipedia.org/wiki/Westferry_DLR_station
Woolwich Arsenal,Greenwich,Woolwich Arsenal,https://en.wikipedia.org/wiki/Woolwich_Arsenal_station
Thames Wharf,Thameside West[36],Thames Wharf,https://en.wikipedia.org/wiki/Thames_Wharf_DLR_station
Beckton Riverside,Armada Riverside[39],Beckton Riverside,https://en.wikipedia.org/wiki/Docklands_Light_Railway_extension_to_Thamesmead
Thamesmead,Thamesmead Central[38],Thamesmead,https://en.wikipedia.org/wiki/Docklands_Light_Railway_extension_to_Thamesmead
