Year,Borough,Weighted_In_Degree,Weighted_Out_Degree,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Community_ID,Participation_Coefficient,Average_House_Price,Weighted_In_Degree_Lag1,Weighted_Out_Degree_Lag1,Betweenness_Centrality_Lag1,Closeness_Centrality_Lag1,Eigenvector_Centrality_Lag1,Community_ID_Lag1,Participation_Coefficient_Lag1,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Borough_Barking & Dagenham,Borough_Barnet,Borough_Brent,Borough_Bromley,Borough_Camden,Borough_City of London,Borough_Croydon,Borough_Ealing,Borough_Enfield,Borough_Greenwich,Borough_Hackney,Borough_Hammersmith & Fulham,Borough_Haringey,Borough_Harrow,Borough_Havering,Borough_Hillingdon,Borough_Hounslow,Borough_Islington,Borough_Kensington & Chelsea,Borough_Lambeth,Borough_Lewisham,Borough_Merton,Borough_Newham,Borough_Redbridge,Borough_Richmond upon Thames,Borough_Southwark,Borough_Tower Hamlets,Borough_Waltham Forest,Borough_Wandsworth,Borough_Westminster,Weighted_In_Degree_Lag1_Year_Interaction,Weighted_Out_Degree_Lag1_Year_Interaction,Betweenness_Centrality_Lag1_Year_Interaction,Closeness_Centrality_Lag1_Year_Interaction,Eigenvector_Centrality_Lag1_Year_Interaction,COVID_Period,Weighted_In_Degree_Lag1_COVID_Interaction,Weighted_Out_Degree_Lag1_COVID_Interaction,Betweenness_Centrality_Lag1_COVID_Interaction,Closeness_Centrality_Lag1_COVID_Interaction,Eigenvector_Centrality_Lag1_COVID_Interaction
2001,Barking & Dagenham,7032.0,7959.428571428572,58.0,0.09662294214897504,0.02305308237431169,0.0,0.8790941887576509,91140.25,6814.0,7233.714285714285,62.452380952380956,0.10152862725300024,0.019802284675109944,0.0,0.8799844625684073,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-76585.52112676112,-81302.87323943719,-701.9295774647937,-1.1411245710971094,-0.22256652353151898,0,0.0,0.0,0.0,0.0,0.0
2002,Barking & Dagenham,7366.857142857143,8424.57142857143,50.31428571428571,0.07448307462894674,0.025725978812819787,0.0,0.8785898050674218,115356.25,7032.0,7959.428571428572,58.0,0.09662294214897504,0.02305308237431169,0.0,0.8790941887576509,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-72003.71830985972,-81500.06438631854,-593.8873239436666,-0.9893644921451465,-0.23605057586091166,0,0.0,0.0,0.0,0.0,0.0
2003,Barking & Dagenham,7539.714285714285,8140.0,49.61904761904761,0.08618709977595342,0.022733811094972214,0.0,0.8711883970648909,146478.75,7366.857142857143,8424.57142857143,50.31428571428571,0.07448307462894674,0.025725978812819787,0.0,0.8785898050674218,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-68065.60965794828,-77838.29376257614,-464.87565392354526,-0.6881816472759082,-0.23769355072126658,0,0.0,0.0,0.0,0.0,0.0
2004,Barking & Dagenham,9610.0,10018.0,31.73809523809524,0.07237605466191156,0.02782798906538506,0.0,0.8852252574384004,162593.66666666666,7539.714285714285,8140.0,49.61904761904761,0.08618709977595342,0.022733811094972214,0.0,0.8711883970648909,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-62122.99798792817,-67069.0140845077,-408.8329979879315,-0.7101331460413132,-0.18731379564167427,0,0.0,0.0,0.0,0.0,0.0
2005,Barking & Dagenham,8838.857142857143,8810.57142857143,59.26190476190476,0.07499767365816838,0.02894503361357883,0.0,0.8902188663152918,167923.33333333334,9610.0,10018.0,31.73809523809524,0.07237605466191156,0.02782798906538506,0.0,0.8852252574384004,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-69570.98591549373,-72524.67605633882,-229.76592890677654,-0.5239618605101825,-0.20145896309307154,0,0.0,0.0,0.0,0.0,0.0
2006,Barking & Dagenham,9816.285714285714,10111.714285714286,56.642857142857146,0.09001120601185142,0.02905416847910994,0.0,0.862158750266964,172541.41666666666,8838.857142857143,8810.57142857143,59.26190476190476,0.07499767365816838,0.02894503361357883,0.0,0.8902188663152918,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-55149.48893360232,-54973.00201207314,-369.7608987256922,-0.46794323141646504,-0.18060070268754347,0,0.0,0.0,0.0,0.0,0.0
2007,Barking & Dagenham,10787.714285714286,11016.285714285714,32.92857142857143,0.09430895098455463,0.03003922146040533,0.0,0.8702710920397687,190074.33333333334,9816.285714285714,10111.714285714286,56.642857142857146,0.09001120601185142,0.02905416847910994,0.0,0.862158750266964,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51431.80684104706,-52979.686116701014,-296.7766599597631,-0.4716080089635104,-0.15222747428491637,0,0.0,0.0,0.0,0.0,0.0
2008,Barking & Dagenham,10152.285714285714,11193.714285714286,54.166666666666664,0.0696933136829586,0.027113699233882144,0.0,0.8734722911519517,192589.66666666666,10787.714285714286,11016.285714285714,32.92857142857143,0.09430895098455463,0.03003922146040533,0.0,0.8702710920397687,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-45733.83098591636,-46702.84507042341,-139.59859154929842,-0.39981682037114763,-0.1273493754870729,0,0.0,0.0,0.0,0.0,0.0
2009,Barking & Dagenham,11018.857142857143,10748.0,65.33809523809524,0.06627822507602964,0.03271477527767009,0.0,0.8808836746329333,160816.41666666666,10152.285714285714,11193.714285714286,54.166666666666664,0.0696933136829586,0.027113699233882144,0.0,0.8734722911519517,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-32887.686116701014,-36261.32796780774,-175.46948356807945,-0.2257670724940968,-0.08783311019426827,0,0.0,0.0,0.0,0.0,0.0
2010,Barking & Dagenham,11130.857142857143,11281.42857142857,75.19047619047619,0.067612941247558,0.03229325311248226,0.0,0.8847685134331957,171212.66666666666,11018.857142857143,10748.0,65.33809523809524,0.06627822507602964,0.03271477527767009,0.0,0.8808836746329333,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-24676.032193159837,-24069.464788733254,-146.3205231388382,-0.14842588432519843,-0.07326266576267226,0,0.0,0.0,0.0,0.0,0.0
